station_name,wigos_station_identifier,wigos_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,WMO Region,Declared reporting status,Assessed reporting status,Last updated by
BARIKA,0-12-0-05BATCN60471,60471,Land (fixed),35.34787,5.33993,460,,Algeria,1,Operational,Operational,Mohamed Mezred
BENI OUNIF,0-12-0-08BECCN60577,60577,Land (fixed),32.05138,-1.26527,830,,Algeria,1,Operational,Partly operational,Mohamed Mezred
BOUIRA,0-12-0-10BRACN60417,60417,Land (fixed),36.36997,3.89507,555,,Algeria,1,Operational,Operational,Mohamed Mezred
ALGER PORT,0-12-0-16ALGCN60369,60369,Land (fixed),36.77451,3.06243,9.3,,Algeria,1,Unknown,Operational,Abdelhadi HARROUZ
BOUCHEGOUF,0-12-0-24GUECN60405,60405,Land (fixed),36.45821,7.70874,110,,Algeria,1,Operational,Partly operational,Mohamed Mezred
DELLYS,0-12-0-35BOUCN60387,60387,Land (fixed),36.89671,3.95527,6,,Algeria,1,Operational,Operational,Mohamed Mezred
MILA,0-12-0-43MILCN60407,60407,Land (fixed),36.40082,6.32685,670,,Algeria,1,Operational,Operational,Mohamed Mezred
AIN DEFLA,0-12-0-44DEFCN60429,60429,Land (fixed),36.26511,1.94852,292,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
JIJEL- ACHOUAT,0-20000-0-60351,60351,Land (fixed),36.79472,5.87722,8,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
JIJEL-PORT,0-20000-0-60353,60353,Land (fixed),36.8166666667,5.8833333333,2,,Algeria,1,Closed,Unknown,Mohamed Mezred
SKIKDA,0-20000-0-60355,60355,Land (fixed),36.88178,6.93503,2,,Algeria,1,Operational,Operational,Mohamed Mezred
ANNABA,0-20000-0-60360,60360,Land (fixed),36.822222,7.8025,3,,Algeria,1,Operational,Operational,Abdelhadi HARROUZ
TARF,0-20000-0-60368,60368,Land (fixed),36.75463,8.07933,3,,Algeria,1,Operational,Operational,Mohamed Mezred
KOUBA,0-20000-0-60370,60370,Land (fixed),36.7166666667,3.1,84,,Algeria,1,Operational,Partly operational,Mohamed Mezred
OUED KORICHE,0-20000-0-60371,60371,Land (fixed),36.7833333333,3.0333333333,12,,Algeria,1,Operational,Partly operational,Mohamed Mezred
BOUZAREAH,0-20000-0-60372,60372,Land (fixed),36.7833333333,3,296,,Algeria,1,Operational,Silent,Mohamed Mezred
BORDJ EL BAHRI,0-20000-0-60376,60376,Land (fixed),36.7833333333,3.25,16,,Algeria,1,Operational,Silent,Mohamed Mezred
REGHAIA,0-20000-0-60379,60379,Land (fixed),36.7666666667,3.3333333333,4,,Algeria,1,Operational,Silent,Mohamed Mezred
